brand,barrier,match_count,example_quotes
Olens,bad reviews,8,"[Negative reviews influenced my decision, and the product was uncomfortable compared to the previous ones.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [The new packaging caused discomfort and might harm others.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [Eyes become dry and painful after half a day.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review)"
Olens,used to current brand,6,[Switching from U.S. brand to Korean ones.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [I'm accustomed to my usual brand and find their contacts more comfortable.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [I switched brands but found them uncomfortable and defective.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review)
Olens,not on promotion,4,"[It's useful but getting pricier; more promotions would be welcome.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [The packaging influenced my choice to stick with Alcon lenses.](https://www.xiaohongshu.com/discovery/item/69072f45000000000500003d?xsec_token=YBS0WLRSydkULStrYi1SliwTAvkc0rQKD0gVH3NlpZazk%3D&xsec_source=app_share) (xhs_post) | [The promotion is excessive, making it hard to buy just what I need.](https://www.xiaohongshu.com/discovery/item/69fb5842000000003701dd32?xsec_token=YB52L3VdbHz2619TViHtj-I22jqiNSgHRRUZg9h6UUGYw%3D&xsec_source=app_share) (xhs_post)"
Olens,not suitable for my age,4,"[Found lenses unsuitable post-vision correction and experienced stinging.](https://www.xiaohongshu.com/discovery/item/6981f686000000002103ca8b?xsec_token=YBN_JQRf0i_EStPdhsJGJDwRKlhvTGG-ymoDaAUDnXBm4%3D&xsec_source=app_share) (xhs_post) | [Comfortable, but the large diameter isn't suitable for daily wear without makeup.](https://www.xiaohongshu.com/discovery/item/680c409b000000020d01e462?xsec_token=YBNoOUFLQxDMj4pzWwb4Qtwc3JhjnqkBlFHGl8HzA1H2I%3D&xsec_source=app_share) (xhs_post) | [The base curve is slightly large but manageable.](https://www.xiaohongshu.com/discovery/item/69e338e4000000001b021351?xsec_token=YBqWJL6IC_3bWLwV7LhV68DRxZwQBTIM2RvDxXEZOnzpM%3D&xsec_source=app_share) (xhs_post)"
Olens,unattractive packaging,3,[The packaging seems counterfeit and raises concerns.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [The packaging is difficult to open.](https://www.xiaohongshu.com/discovery/item/682998cd000000001200180f?xsec_token=YBS_SuQSnXnF2UfHzm2YY1N9mJzobETjmfZESLyn3rYbU%3D&xsec_source=app_share) (xhs_post) | [The packaging influenced my choice to stick with Alcon lenses.](https://www.xiaohongshu.com/discovery/item/69072f45000000000500003d?xsec_token=YBS0WLRSydkULStrYi1SliwTAvkc0rQKD0gVH3NlpZazk%3D&xsec_source=app_share) (xhs_post)
Olens,too few variants,3,"[The box was not packaged well.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [I found the previous brand better, but there are fewer appealing color options.](https://www.xiaohongshu.com/discovery/item/6867d637000000000d01b41f?xsec_token=YBBTHBUzMOLFjdeD8D7NQSQZX4mbUCvp9Kq5NEIaCtSbY%3D&xsec_source=app_share) (xhs_post) | [I need daily options in grey or green that fit well.](https://www.xiaohongshu.com/discovery/item/6a43d402000000001603c754?xsec_token=YB-TLg8-5rrIAqb_OQEQw8AC9ivHS-4t5Bo8yv2eBKLO0%3D&xsec_source=app_share) (xhs_post)"
Olens,longer wait time,3,[Restocking some prescriptions takes too long.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [Prescription mismatches cause long waiting times.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [Delivery took about two weeks.](https://www.xiaohongshu.com/discovery/item/65735c9b000000003a00c262?xsec_token=YBtBjVAOika0wat9Kr-1fUA0Vmwos85ivsjVTJAkuGCAs%3D&xsec_source=app_share) (xhs_post)
Olens,not available at ECP,1,[There is no delivery available for these lenses.](https://www.xiaohongshu.com/discovery/item/68ee4db70000000207039f44?xsec_token=YBvuvVtAU1QHUJvphOXwItEVfj47nkACdZ5zWL1FIp6Yg%3D&xsec_source=app_share) (xhs_post)
other,too expensive,15,"[I'm concerned about the cost of these lenses.](https://www.xiaohongshu.com/discovery/item/6391a6f60000000019023114?xsec_token=YBd98f_8t1trDY_pqp74Z-P2P01VyEwT3Jb1gldhryvBs%3D&xsec_source=app_share) (xhs_post) | [I'm looking for monthly lenses that are more affordable.](https://www.xiaohongshu.com/discovery/item/65c218820000000001031514?xsec_token=YBG01v7ASmhefK4c4RMItOTSWqr1jJTODzGdAeHpBdv48%3D&xsec_source=app_share) (xhs_post) | [Found great discounts on contact lenses, much cheaper than local prices.](https://www.xiaohongshu.com/discovery/item/6a2e32760000000008026457?xsec_token=YBnWJL6kWWmgug6m7e9sjP1PB6vUbfBdM6dOmrX5ZeZf0%3D&xsec_source=app_share) (xhs_post)"
other,previous bad experience,12,"[After an hour, Hichang lenses made my eyes feel dry and required drops.](https://www.xiaohongshu.com/discovery/item/68d2166c0000000007028bd2?xsec_token=YB2LMWdVnWTAWIMZUMeaeLh5S9cwTx8pnQA0klhxgEl9c%3D&xsec_source=app_share) (xhs_post) | [The lenses had poor quality, leading to a bad experience.](https://www.xiaohongshu.com/discovery/item/68ec680d000000020500999d?xsec_token=YBWkCMP9pN5VKUMhYBxdTmn30WSCtFLdmPc7efeRZorIc%3D&xsec_source=app_share) (xhs_post) | [Had a negative experience with this brand and found them hard to wear.](https://www.xiaohongshu.com/discovery/item/679b1a020000000028037b9b?xsec_token=YBQPyvyI3g18fRLKtYnlcpAmQehMWrzocmR8Itnval-ac%3D&xsec_source=app_share) (xhs_post)"
other,too few variants,6,[Sea Chance lenses are too soft and break easily.](https://www.xiaohongshu.com/discovery/item/6764dc63000000000800e12c?xsec_token=YBX_yvvT-qapQVLq3heoCd_E9uJDivtI4GzrRpfPxfkMU%3D&xsec_source=app_share) (xhs_post) | [These daily disposables are too dry and hard to remove.](https://www.xiaohongshu.com/discovery/item/67da9d1f000000021d02ccb6?xsec_token=YBJWgY8x_III8gOQzklKCr7VACsmeR7tMP8hA5hdSzs7U%3D&xsec_source=app_share) (xhs_post) | [I felt overwhelmed by the variety of contact lenses available.](https://www.xiaohongshu.com/discovery/item/65b24345000000000c005ab9?xsec_token=YBYCyW-Kjo-lE4EU_fWoWE8IRrmMQzrjHIEtucd0DjLZM%3D&xsec_source=app_share) (xhs_post)
other,difficult to find,5,[I had trouble finding a specific prescription.](https://www.xiaohongshu.com/discovery/item/69696cd60000000009039a33?xsec_token=YBBRDi2ol-zg63NWY4TNPWJjTZZDecDe8PcPrvqOIqFjM%3D&xsec_source=app_share) (xhs_post) | [Struggled to find suitable astigmatic lenses.](https://www.xiaohongshu.com/discovery/item/693a172e000000021902e905?xsec_token=YBNEZj7qqpyHyBht2pVELftMb_dlssPkpgkDYJRV3a32M%3D&xsec_source=app_share) (xhs_post) | [Had trouble removing lenses after forgetting my glasses.](https://www.xiaohongshu.com/discovery/item/6720e5fb000000001901a413?xsec_token=YBqZp0ayC3PXikyLQGQSvDfd0865dvKCf8fh8ZHWfy2mw%3D&xsec_source=app_share) (xhs_post)
other,not suitable for my age,5,[I'm not sure if these lenses are suitable for me.](https://www.xiaohongshu.com/discovery/item/663e277e000000001e03762d?xsec_token=YBrmQAlA0sg2CTNBfTZDMUVkhnYP7sjxLeXXa9TcBnZxU%3D&xsec_source=app_share) (xhs_post) | [I'm not finding suitable disposables after my pregnancy.](https://www.xiaohongshu.com/discovery/item/66e7b9e60000000027002183?xsec_token=YBXeKbTZPPlHHKAY8kQiz1g-Rlz75QYhpcZ0fnp956bRc%3D&xsec_source=app_share) (xhs_post) | [My severe astigmatism makes finding suitable lenses very challenging.](https://www.xiaohongshu.com/discovery/item/671cae76000000021b024771?xsec_token=YBTLQQeUuEUTU7xleGod5TMijsVfwIlhvwx-ZftUiLLgQ%3D&xsec_source=app_share) (xhs_post)
other,used to current brand,5,"[After years with Dailies Total 1, Oasys Max offers clearer screen visibility.](https://www.xiaohongshu.com/discovery/item/68acf497000000001c035ed8?xsec_token=YBdZvl1eoZKS31xmjTwZNxUeCwdaJgq1_4F0ALVaXimeA%3D&xsec_source=app_share) (xhs_post) | [Haven't bought lenses recently after switching to glasses.](https://www.xiaohongshu.com/discovery/item/68e01b030000000004028c45?xsec_token=YBl4jikL3ZnvzZD6ekbsnJBAwxQKW7WE74TzsdMcNGI7U%3D&xsec_source=app_share) (xhs_post) | [Switching brands was tough; new lenses have made it easier to wear.](https://www.xiaohongshu.com/discovery/item/6a33df2400000002060298de?xsec_token=YBes10FcfTfQ2dO-itVVuFtoy9_dpzwL6a9pQy-B8ohVk%3D&xsec_source=app_share) (xhs_post)"
other,lack of familiarity,4,"[Curious about the quality of Live contact lenses, unsure of hydration.](https://www.xiaohongshu.com/discovery/item/65fd9eef000000000d00cd0a?xsec_token=YBMh3cSJ5DbrxPVGpfaGfW4OjZz_t7juyjyV0zmUDMwHY%3D&xsec_source=app_share) (xhs_post) | [No one seems to recommend these pink contact lenses.](https://www.xiaohongshu.com/discovery/item/6a3a361d0000000015024590?xsec_token=YB--AtVtN-0VP7dyL0tuacypaR6zK06rW5-oI1aO55cZg%3D&xsec_source=app_share) (xhs_post) | [I discovered a new brand that feels really comfortable.](https://www.xiaohongshu.com/discovery/item/6a27b06e000000002201b6e6?xsec_token=YBRouL9C6bLCYYsyx8VImNN34nthoGRQw8c2G5Lrrvi5Y%3D&xsec_source=app_share) (xhs_post)"
other,bad reviews,4,[Struggling with discomfort; feels like lenses are glued to my eyes.](https://www.xiaohongshu.com/discovery/item/68286a8f0000000012003628?xsec_token=YBmXCq_8oXUGPlW-5c08FGOXfNhSf-bSuKi3E4oY7YXPw%3D&xsec_source=app_share) (xhs_post) | [I heard negative feedback about these lenses breaking.](https://www.xiaohongshu.com/discovery/item/694165a0000000001e000734?xsec_token=YBbff-682p68p4Oqa_5rJKrfR_a0yRzAH9Tn2xAiZ1hCE%3D&xsec_source=app_share) (xhs_post) | [I'm concerned about the bad reviews regarding lenses breaking.](https://www.xiaohongshu.com/discovery/item/69f03581000000021a03e985?xsec_token=YBilIof_t3ko2xgjO2DgF0eYt3Dhj_S_taJl53BjuMw64%3D&xsec_source=app_share) (xhs_post)
other,not on promotion,2,[Trying brands on promotion due to my dry eyes.](https://www.xiaohongshu.com/discovery/item/6983cff7000000000a031fe7?xsec_token=YBxfRq4XpXENxstBEFY_P6InmzBjzKA6FhTEiQpAN7nWQ%3D&xsec_source=app_share) (xhs_post) | [Excited to see a buy one get one promotion for daily lenses.](https://www.xiaohongshu.com/discovery/item/6639aeea000000001e039671?xsec_token=YB77h2nRBbIzpXMXJBw6Dr2_Nw22IXOjayJ0bXkYDqEqk%3D&xsec_source=app_share) (xhs_post)
other,no ECP recommendation,2,"[The requirement for prescriptions is frustrating.](https://www.xiaohongshu.com/discovery/item/68840d7100000000230040c3?xsec_token=YBsN2_bsvUdoK6hoR-ydHmJ37KQhfgv0qo9prGAVAs8Qc%3D&xsec_source=app_share) (xhs_post) | [I need a prescription to buy lenses, which I forgot.](https://www.xiaohongshu.com/discovery/item/67c9052e0000000028036eee?xsec_token=YBq60hYNDRPPg2H_WO0eBO0x6bbb-Z5SWjUABAkrDa-mU%3D&xsec_source=app_share) (xhs_post)"
other,longer wait time,1,[I've waited almost a month for my contact lenses.](https://www.xiaohongshu.com/discovery/item/698dbb260000000015039f04?xsec_token=YBCIifWhsQv1dPwfcNZSegh95fYBzE2mcd5y-2oyKblzg%3D&xsec_source=app_share) (xhs_post)
other,not available at ECP,1,[I prefer not to visit physical stores; I'm frustrated that my usual lenses are out of stock.](https://www.xiaohongshu.com/discovery/item/6a062d470000000036019a7d?xsec_token=YBOUi9phYQt9SJE-bki9FxN350luKIHRsLht1aT4i1N-w%3D&xsec_source=app_share) (xhs_post)
